Year,Marrakech,Agadir+Taghazout,Casablanca,Tanger-Assilah,Fès,Ifrane,Oujda-Saidia,Essaouira-Mogador,Ouarzazate,Rabat,Al Haouz,Meknès,El Jadida-Mazagan
2012,56581,34014,14472,8568,7785,6663,7006,5223,6384,5601,3043,3633,2646
2013,59298,34762,14885,9448,8156,8423,7781,5354,6630,5866,3149,3729,2674
2014,60517,37199,15141,10176,9429,8542,7901,5632,6791,5982,3277,4452,2672
2015,64556,37824,15959,10672,9791,8974,7894,5876,6863,5982,5243,4563,2740
2016,67453,38603,18751,11620,10094,9014,7894,6090,6960,6080,5277,4589,2793
2017,69486,38823,18883,12176,10298,9099,9052,6185,7251,6458,5667,4648,2793
2018,71294,38983,20416,12419,10346,9149,9052,6303,7251,6468,5715,4670,2869
2019,73048,40136,21200,13497,10346,9149,9116,6481,7290,6468,5995,4705,2949
2020,73175,40660,21417,14060,10586,9149,9116,8602,7302,6654,5995,4705,2949
